candidate,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Kathleen Allen,5,58,1,0,4,Lost,None,None,-12.73,11.02,0,1,0,0,0,0,0,0,2,0,2,2,2,2,1,2,2,2,2,2,2,1,2
Melissa Davis,5,58,1,0,4,Lost,None,None,-12.73,13.67,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,3
Steve Reilly,5,58,1,0,4,Lost,None,None,-12.73,4.1999998,0,1,1,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,3
Dave Cooper,5,59,1,0,4,Lost,None,None,-60.810001,47.27,0,1,1,0,0,0,0,0,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2
Josh McCall,5,59,1,0,4,Advanced,None,On the Ballot,-60.810001,52.73,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,0,2,2,2,1,2
Andy McGuire,6,7,0,0,7,Lost,None,None,-8.1400003,5.25,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
Cathy Glasson,6,7,0,0,7,Lost,None,None,-8.1400003,20.549999,0,1,0,0,0,0,1,0,2,2,1,2,2,2,1,2,1,2,1,2,2,4,1
Fred Hubbell,6,7,0,0,7,Advanced,None,On the Ballot,-8.1400003,55.41,1,1,0,0,0,1,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
John Norris,6,7,0,0,7,Lost,None,None,-8.1400003,11.44,0,1,0,0,0,0,0,1,2,2,0,2,2,2,0,2,0,2,0,2,2,1,4
Nate Boulton,6,7,0,0,7,Lost,None,None,-8.1400003,4.9699998,0,1,0,0,1,0,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
Ross Wilburn,6,7,0,0,7,Lost,None,None,-8.1400003,2.1700001,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
Abby Finkenauer,6,77,1,0,7,Advanced,None,On the Ballot,-1.73,66.800003,1,1,0,0,1,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1
Courtney Rowe,6,77,1,0,7,Lost,None,None,-1.73,7.5900002,0,1,0,0,0,0,1,0,0,0,2,0,2,2,2,1,2,2,2,2,2,1,4
George Ramsey,6,77,1,0,7,Lost,None,None,-1.73,6.3699999000000025,0,0,1,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,0,4
Thomas Heckroth,6,77,1,0,7,Lost,None,None,-1.73,19.120001000000002,0,1,0,0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,1,3
Cindy Axne,6,78,1,0,7,Advanced,None,On the Ballot,-4.1100001000000015,57.799999,1,1,0,0,0,0,0,0,1,1,2,2,2,0,0,2,2,2,2,2,2,2,3
Eddie Mauro,6,78,1,0,7,Lost,None,None,-4.1100001000000015,26.35,0,1,0,0,0,1,0,0,0,0,2,2,2,0,0,2,2,2,2,2,2,0,5
Pete D'Alessandro,6,78,1,0,7,Lost,None,None,-4.1100001000000015,15.58,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,2,2,2,2,2,3
J.D. Scholten,6,79,1,0,7,Advanced,None,On the Ballot,-25.110001,51.259997999999996,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1
John Paschen,6,79,1,0,7,Lost,None,None,-25.110001,16.719998999999998,0,1,0,0,0,0,1,0,2,2,2,2,2,2,0,2,2,2,0,2,2,0,3
Leann Jacobsen,6,79,1,0,7,Lost,None,None,-25.110001,31.92,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,2,2,2,0,2,2,0,3
A.J. Balukoff,7,5,0,0,1,Lost,None,None,-34.330002,40.099998,0,1,0,0,0,1,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Paulette E. Jordan,7,5,0,0,1,Advanced,None,On the Ballot,-34.330002,58.400002,1,0,0,0,1,0,0,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1
Peter Dill,7,5,0,0,1,Lost,None,None,-34.330002,1.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Christina McNeil,7,60,1,0,1,Advanced,None,On the Ballot,-39.43,69.699997,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
James Vandermaas,7,60,1,0,1,Lost,None,None,-39.43,15.8,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Michael Smith,7,60,1,0,1,Lost,None,None,-39.43,14.5,0,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Aaron Swisher,7,61,1,0,1,Advanced,None,On the Ballot,-28.809998999999998,67.599998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Peter Rickards,7,61,1,0,1,Lost,None,None,-28.809998999999998,32.400002,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Bob Daiber,8,6,0,0,3,Lost,None,None,14.48,1.1,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Chris Kennedy,8,6,0,0,3,Lost,None,None,14.48,24.4,0,1,0,0,0,1,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Daniel K. Biss,8,6,0,0,3,Lost,None,None,14.48,26.700001,0,1,0,0,1,0,1,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1
J.B. Pritzker,8,6,0,0,3,Advanced,None,On the Ballot,14.48,45.099998,1,1,0,0,0,1,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Robert Marshall,8,6,0,0,3,Lost,None,None,14.48,1.1,0,1,1,0,0,0,1,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Tio Hardiman,8,6,0,0,3,Lost,None,None,14.48,1.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Brendan Kelly,8,62,1,0,3,Advanced,None,On the Ballot,-13.26,81.0,1,1,1,0,0,0,0,0,1,2,2,1,2,2,2,2,2,2,2,1,2,3,1
David Bequette,8,62,1,0,3,Lost,None,None,-13.26,19.0,0,1,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,0,2,0,4
Angel Sides,8,63,1,0,3,Lost,None,None,-6.73,4.1999998,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,0,4
Betsy Londrigan,8,63,1,0,3,Advanced,None,On the Ballot,-6.73,45.700001,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,0,2,2,2,2,2,2,2
David Gill,8,63,1,0,3,Lost,None,None,-6.73,14.4,0,1,0,0,0,0,1,0,0,0,2,2,2,2,2,1,2,2,2,2,2,1,3
Erik Jones,8,63,1,0,3,Lost,None,None,-6.73,22.4,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,0,4
Jonathan Ebel,8,63,1,0,3,Lost,None,None,-6.73,13.3,0,1,1,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,0,4
Daniel Roldan-Johnson,8,64,1,0,3,Lost,None,None,-7.96,2.3,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,0,6
George Weber,8,64,1,0,3,Lost,None,None,-7.96,5.0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,2,2,2,2,2,2,0,6
Jim Walz,8,64,1,0,3,Lost,None,None,-7.96,10.0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,2,2,2,2,1,5
John Hosta,8,64,1,0,3,Lost,None,None,-7.96,5.0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,0,6
Lauren Underwood,8,64,1,0,3,Advanced,None,On the Ballot,-7.96,57.299999,1,0,0,0,0,0,1,1,1,1,1,2,1,2,0,2,2,2,2,2,2,5,1
Matt Brolley,8,64,1,0,3,Lost,None,None,-7.96,13.4,0,1,0,0,1,0,1,0,0,0,0,2,0,2,0,2,2,2,2,2,2,0,6
Victor Swanson,8,64,1,0,3,Lost,None,None,-7.96,7.0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,0,6
Carl Spoerer,8,65,1,0,3,Lost,None,None,-44.630001,37.900002,0,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Kevin Gaither,8,65,1,0,3,Advanced,None,On the Ballot,-44.630001,62.099998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Amy Murri Briel,8,66,1,0,3,Lost,None,None,-17.360001,19.5,0,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
Beth Vercolio-Osmund,8,66,1,0,3,Lost,None,None,-17.360001,13.0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Neill Mohammad,8,66,1,0,3,Lost,None,None,-17.360001,27.200001,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Sara Dady,8,66,1,0,3,Advanced,None,On the Ballot,-17.360001,40.299999,1,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Brian Deters,8,67,1,0,3,Lost,None,None,-28.83,39.5,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Darrel Miller,8,67,1,0,3,Lost,None,None,-28.83,18.799999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Junius Rodriguez,8,67,1,0,3,Advanced,None,On the Ballot,-28.83,41.700001,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jesus Garcia,8,68,1,0,3,Advanced,None,On the Ballot,65.089996,66.199997,1,0,0,0,1,0,0,0,2,0,2,2,2,1,1,2,2,2,2,2,2,2,2
Richard Gonzalez,8,68,1,0,3,Lost,None,None,65.089996,11.9,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,2,2,2,2,2,2,0,4
Sol Flores,8,68,1,0,3,Lost,None,None,65.089996,21.9,0,0,0,0,0,0,0,0,2,1,2,2,2,0,0,2,2,2,2,2,2,1,3
Amanda Howland,8,69,1,0,3,Lost,None,None,0.67000002,12.7,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,4
Becky Anderson Wilkins,8,69,1,0,3,Lost,None,None,0.67000002,6.0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,4
Carole Cheney,8,69,1,0,3,Lost,None,None,0.67000002,17.4,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,4
Jennifer Zordani,8,69,1,0,3,Lost,None,None,0.67000002,4.099999899999999,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,4
Kelly Mazeski,8,69,1,0,3,Lost,None,None,0.67000002,26.799999,0,1,0,0,0,0,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,1,3
Ryan Huffman,8,69,1,0,3,Lost,None,None,0.67000002,3.5,0,1,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,4
Sean Casten,8,69,1,0,3,Advanced,None,On the Ballot,0.67000002,29.5,1,1,0,0,0,1,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2
Douglas Carpenter,9,70,1,0,10,Lost,None,None,-23.43,5.3000002,0,1,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
John Petroff,9,70,1,0,10,Lost,None,None,-23.43,1.5,0,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Mel Hall,9,70,1,0,10,Advanced,None,On the Ballot,-23.43,41.700001,1,1,0,0,0,1,1,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Pat Hackett,9,70,1,0,10,Lost,None,None,-23.43,28.200001,0,1,0,1,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Roland Leech,9,70,1,0,10,Lost,None,None,-23.43,1.2,0,1,1,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Yatish Joshi,9,70,1,0,10,Lost,None,None,-23.43,22.1,0,0,0,0,0,1,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Courtney Tritch,9,71,1,0,10,Advanced,None,On the Ballot,-35.48,79.099998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
John Roberson,9,71,1,0,10,Lost,None,None,-35.48,10.2,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Tommy Schrader,9,71,1,0,10,Lost,None,None,-35.48,10.7,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Darin Patrick Griesey,9,72,1,0,10,Lost,None,None,-34.110001000000004,6.6999998,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Joe Mackey,9,72,1,0,10,Lost,None,None,-34.110001000000004,16.1,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Roger Day,9,72,1,0,10,Lost,None,None,-34.110001000000004,12.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Roland Ellis,9,72,1,0,10,Lost,None,None,-34.110001000000004,9.1999998,0,1,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Tobi Beck,9,72,1,0,10,Advanced,None,On the Ballot,-34.110001000000004,34.599998,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Veronikka Ziol,9,72,1,0,10,Lost,None,None,-34.110001000000004,21.1,0,1,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Dee Thornton,9,73,1,0,10,Advanced,None,On the Ballot,-15.58,53.0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Dion Douglas,9,73,1,0,10,Lost,None,None,-15.58,10.3,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Eshel Faraggi,9,73,1,0,10,Lost,None,None,-15.58,7.599999900000001,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Kyle Brenden Moore,9,73,1,0,10,Lost,None,None,-15.58,23.700001,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Sean Dugdale,9,73,1,0,10,Lost,None,None,-15.58,5.5,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
George Thomas Holland,9,74,1,0,10,Lost,None,None,-38.529999,11.1,0,1,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jeannine Lee Lake,9,74,1,0,10,Advanced,None,On the Ballot,-38.529999,38.299999,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jim Pruett,9,74,1,0,10,Lost,None,None,-38.529999,25.799999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Joshua Williamson,9,74,1,0,10,Lost,None,None,-38.529999,7.3000002,0,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
K. Lave,9,74,1,0,10,Lost,None,None,-38.529999,1.9,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Lane Siekman,9,74,1,0,10,Lost,None,None,-38.529999,15.6,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
William Tanoos,9,75,1,0,10,Advanced,None,On the Ballot,-32.509997999999996,100.0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Daniel Canon,9,76,1,0,10,Lost,None,None,-26.83,30.700001,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,1,0,2,0,2,2,1,5
Liz Watson,9,76,1,0,10,Advanced,None,On the Ballot,-26.83,66.400002,1,1,0,0,0,0,0,0,2,1,2,2,1,2,2,0,1,2,1,2,2,4,2
Rob Chatlos,9,76,1,0,10,Lost,None,None,-26.83,2.9000001,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,2,0,2,2,0,6
Arden Andersen,10,8,0,0,9,Lost,None,None,-23.41,7.900000099999999,0,1,1,0,0,0,1,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Carl Brewer,10,8,0,0,9,Lost,None,None,-23.41,20.6,0,0,1,0,1,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Jack Bergeson,10,8,0,0,9,Lost,None,None,-23.41,2.5999999,0,1,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Joshua Svaty,10,8,0,0,9,Lost,None,None,-23.41,17.799999,0,1,0,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,2,2,2,1,2
Laura Kelly,10,8,0,0,9,Advanced,None,On the Ballot,-23.41,51.400002,1,1,0,0,1,0,0,0,2,1,0,2,2,2,2,2,2,2,2,2,2,1,2
Alan LaPolice,10,80,1,0,9,Advanced,None,On the Ballot,-46.91,100.0,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Paul Davis,10,81,1,0,9,Advanced,None,On the Ballot,-19.73,100.0,1,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Brent Welder,10,82,1,0,9,Lost,None,None,-4.0100002,33.900002,0,1,0,0,0,0,0,1,2,0,1,2,2,1,1,1,1,0,2,2,2,6,2
Jay Sidie,10,82,1,0,9,Lost,None,None,-4.0100002,2.9000001,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,0,8
Mike McCamon,10,82,1,0,9,Lost,None,None,-4.0100002,6.900000099999999,0,1,0,0,0,0,1,0,2,0,0,2,2,0,0,0,0,0,2,2,2,0,8
Sharice Davids,10,82,1,0,9,Advanced,None,On the Ballot,-4.0100002,37.299999,1,0,0,1,0,0,0,0,2,1,0,2,2,0,0,0,0,1,2,2,2,2,6
Sylvia Williams,10,82,1,0,9,Lost,None,None,-4.0100002,4.6999998,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,0,8
Tom Niermann,10,82,1,0,9,Lost,None,None,-4.0100002,14.3,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,2,2,2,1,7
James Thompson,10,83,1,0,9,Advanced,None,On the Ballot,-29.309998999999998,65.300003,1,1,1,0,0,0,0,0,2,2,1,2,2,1,1,1,2,2,2,2,2,4,1
Laura Lombard,10,83,1,0,9,Lost,None,None,-29.309998999999998,34.700001,0,1,0,0,0,0,0,0,2,2,1,2,2,0,0,0,2,2,2,2,2,1,4
Alonzo Pennington,11,84,1,0,4,Lost,None,None,-47.48,25.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,3
Paul Walker,11,84,1,0,4,Advanced,None,On the Ballot,-47.48,74.599998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1
Brian Pedigo,11,85,1,0,4,Lost,None,None,-39.509997999999996,28.68,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Grant Short,11,85,1,0,4,Lost,None,None,-39.509997999999996,19.59,0,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
Hank Linderman,11,85,1,0,4,Advanced,None,On the Ballot,-39.509997999999996,30.02,1,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Rane Eir Olivia Sessions,11,85,1,0,4,Lost,None,None,-39.509997999999996,21.719998999999998,0,1,1,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Christina Lord,11,86,1,0,4,Lost,None,None,-36.610001000000004,21.709999,0,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Patti Piatt,11,86,1,0,4,Lost,None,None,-36.610001000000004,37.529999,0,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Seth Hall,11,86,1,0,4,Advanced,None,On the Ballot,-36.610001000000004,40.77,1,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Kenneth Stepp,11,87,1,0,4,Advanced,None,On the Ballot,-62.060001,58.689999,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Scott Sykes,11,87,1,0,4,Lost,None,None,-62.060001,41.310001,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Amy McGrath,11,88,1,0,4,Advanced,None,On the Ballot,-17.41,48.66,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1
Daniel Kemph,11,88,1,0,4,Lost,None,None,-17.41,1.23,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2
Geoff Young,11,88,1,0,4,Lost,None,None,-17.41,1.5700001000000001,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jim Gray,11,88,1,0,4,Lost,None,None,-17.41,40.509997999999996,0,1,0,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Reggie Thomas,11,88,1,0,4,Lost,None,None,-17.41,7.1999998,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2
Theodore Green,11,88,1,0,4,Lost,None,None,-17.41,0.82999998,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2
Alec Ross,12,10,0,0,5,Lost,None,None,23.799999,2.3,0,1,0,0,0,0,1,1,2,0,1,2,2,0,0,0,2,2,0,2,2,2,5
Ben Jealous,12,10,0,0,5,Advanced,None,On the Ballot,23.799999,39.599998,1,0,0,0,0,0,0,0,2,0,1,2,2,1,1,1,2,2,1,2,2,5,2
James Jones,12,10,0,0,5,Lost,None,None,23.799999,1.5,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0,2,2,0,7
Jim Shea (Maryland),12,10,0,0,5,Lost,None,None,23.799999,8.300000200000001,0,1,0,0,0,1,0,0,2,0,1,2,2,0,0,0,2,2,0,2,2,1,6
Krishanti Vignarajah,12,10,0,0,5,Lost,None,None,23.799999,8.199999799999999,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,2,2,0,2,2,2,5
Ralph Jaffe,12,10,0,0,5,Lost,None,None,23.799999,1.6,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0,2,2,0,7
Richard Madaleno,12,10,0,0,5,Lost,None,None,23.799999,5.8000002,0,1,0,1,1,0,0,0,2,0,1,2,2,0,0,0,2,2,0,2,2,1,6
Rushern Baker III,12,10,0,0,5,Lost,None,None,23.799999,29.4,0,0,0,0,1,0,0,0,2,0,1,2,2,0,0,0,2,2,0,2,2,1,6
