candidate,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Allison Galbraith,12,90,1,0,5,Lost,None,None,-29.66,28.0,0,1,0,0,0,0,0,0,2,2,1,2,2,2,0,2,2,2,2,0,2,1,3
Erik Lane,12,90,1,0,5,Lost,None,None,-29.66,2.2,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0,2,2,2,2,0,2,0,4
Jesse Colvin,12,90,1,0,5,Advanced,None,On the Ballot,-29.66,38.0,1,1,1,0,0,0,0,0,2,2,1,2,2,2,0,2,2,2,2,1,2,2,2
Michael Brown,12,90,1,0,5,Lost,None,None,-29.66,15.0,0,2,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,0,3
Michael Pullen,12,90,1,0,5,Lost,None,None,-29.66,12.9,0,1,0,0,0,0,0,0,2,2,1,2,2,2,1,2,2,2,2,0,2,2,2
Steve Worton,12,90,1,0,5,Lost,None,None,-29.66,3.9000001,0,1,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,0,2,0,4
Andrew Duck,12,91,1,0,5,Lost,None,None,11.89,4.9000001,0,1,1,0,0,0,0,0,2,0,1,2,2,2,0,0,2,2,0,2,2,1,5
Aruna Miller,12,91,1,0,5,Lost,None,None,11.89,30.700001,0,0,0,0,1,0,1,0,2,1,1,2,2,2,0,0,2,2,0,2,2,2,4
Chris Graves,12,91,1,0,5,Lost,None,None,11.89,1.6,0,1,0,0,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,2,2,0,6
Christopher Hearsey,12,91,1,0,5,Lost,None,None,11.89,0.89999998,0,1,0,0,0,0,1,0,2,0,1,2,2,2,0,0,2,2,0,2,2,1,5
David Trone,12,91,1,0,5,Advanced,None,On the Ballot,11.89,40.299999,1,1,0,0,0,1,0,0,2,0,1,2,2,2,0,0,2,2,0,2,2,1,5
George English,12,91,1,0,5,Lost,None,None,11.89,1.1,0,1,0,0,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,2,2,0,6
Nadia Hashimi,12,91,1,0,5,Lost,None,None,11.89,10.4,0,0,0,0,0,0,1,0,2,0,1,2,2,2,0,0,2,2,0,2,2,1,5
Roger Manno,12,91,1,0,5,Lost,None,None,11.89,10.3,0,1,0,0,1,0,0,0,2,0,1,2,2,2,1,1,2,2,1,2,2,4,2
Adam Cote,13,9,0,0,0,Lost,None,None,3.51,28.129998999999998,0,1,1,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,0,2,2,1,3
Betsy Sweet,13,9,0,0,0,Lost,None,None,3.51,16.459999,0,1,0,1,0,0,0,0,2,0,1,2,2,2,2,2,2,2,1,2,2,2,2
Diane Russell,13,9,0,0,0,Lost,None,None,3.51,2.1600001,0,1,0,0,1,0,0,0,2,0,1,2,2,2,2,2,2,2,1,2,2,2,2
Donna Dion,13,9,0,0,0,Lost,None,None,3.51,1.27,0,1,0,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,0,2,2,1,3
Janet T. Mills,13,9,0,0,0,Advanced,None,On the Ballot,3.51,33.09,1,1,0,0,1,0,0,0,2,1,0,2,2,2,2,2,2,2,0,2,2,1,3
Mark Dion,13,9,0,0,0,Lost,None,None,3.51,4.1199999,0,1,0,0,1,0,0,0,2,0,1,2,2,2,2,2,2,2,0,2,2,1,3
Mark Eves,13,9,0,0,0,Lost,None,None,3.51,14.18,0,1,0,0,1,0,0,0,2,0,1,2,2,2,2,2,2,2,1,2,2,2,2
Craig Olson,13,89,1,0,0,Lost,None,None,-8.130000099999998,8.8299999,0,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,0,2,1,2
Jared Golden,13,89,1,0,0,Advanced,None,On the Ballot,-8.130000099999998,46.419998,1,2,1,0,1,0,0,0,2,2,0,2,2,2,2,2,2,2,2,1,2,1,2
Lucas St. Clair,13,89,1,0,0,Lost,None,None,-8.130000099999998,39.240002000000004,0,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,0,2,1,2
Zak Ringelstein,13,231,2,0,0,Advanced,None,On the Ballot,3.51,100.0,1,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Abdul El-Sayed,14,11,0,0,9,Lost,None,None,-0.33000001,30.5,0,0,0,0,0,0,1,0,2,0,1,2,2,1,1,1,1,2,2,2,2,5,2
Gretchen Whitmer,14,11,0,0,9,Advanced,None,On the Ballot,-0.33000001,51.799999,1,1,0,0,1,0,0,0,2,1,1,2,2,0,0,0,0,2,2,2,2,2,5
Shri Thanedar,14,11,0,0,9,Lost,None,None,-0.33000001,17.700001,0,0,0,0,0,1,1,0,2,0,1,2,2,0,0,0,0,2,2,2,2,1,6
Frank Accavitti Jr.,14,92,1,0,9,Lost,None,None,-29.58,32.0,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Kimberly Bizon,14,92,1,0,9,Advanced,None,On the Ballot,-29.58,41.099998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Michael McCarthy (Michigan),14,92,1,0,9,Lost,None,None,-29.58,26.9,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Fayrouz Saad,14,93,1,0,9,Lost,None,None,-7.179999799999999,19.5,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0
Haley Stevens,14,93,1,0,9,Advanced,None,On the Ballot,-7.179999799999999,27.0,1,1,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1
Nancy Skinner,14,93,1,0,9,Lost,None,None,-7.179999799999999,10.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2
Suneel Gupta,14,93,1,0,9,Lost,None,None,-7.179999799999999,21.299999,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2
Tim Greimel,14,93,1,0,9,Lost,None,None,-7.179999799999999,21.799999,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2
Bill Wild,14,94,1,0,9,Lost,None,None,60.720001,14.0,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Bill Wild,14,94,1,1,9,Lost,None,None,60.720001,15.2,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Brenda Jones,14,94,1,1,9,Advanced,None,On the Ballot,60.720001,37.700001,1,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Brenda Jones,14,94,1,0,9,Lost,None,None,60.720001,29.200001,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Coleman Young II,14,94,1,0,9,Lost,None,None,60.720001,12.0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Ian Conyers,14,94,1,0,9,Lost,None,None,60.720001,6.3000002,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Ian Conyers,14,94,1,1,9,Lost,None,None,60.720001,11.2,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Rashida Tlaib,14,94,1,0,9,Advanced,None,On the Ballot,60.720001,33.200001,1,0,0,0,1,0,0,1,2,2,2,2,2,2,1,1,1,2,2,2,0,4,1
Rashida Tlaib,14,94,1,1,9,Lost,None,None,60.720001,35.900002,0,0,0,0,1,0,0,1,2,2,2,2,2,2,1,1,1,2,2,2,0,4,1
Shanelle Jackson,14,94,1,0,9,Lost,None,None,60.720001,5.3000002,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,0,4
Rob Davidson,14,95,1,0,9,Advanced,None,On the Ballot,-18.959999,100.0,1,1,0,0,0,0,1,0,2,2,1,2,2,2,1,1,2,1,2,2,2,4,1
Cathy Albro,14,96,1,0,9,Advanced,None,On the Ballot,-11.41,68.199997,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Fred Wooden,14,96,1,0,9,Lost,None,None,-11.41,31.799999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jerry Hilliard,14,97,1,0,9,Advanced,None,On the Ballot,-23.129998999999998,66.400002,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Zigmond Kozicki,14,97,1,0,9,Lost,None,None,-23.129998999999998,33.599998,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
David Benac,14,98,1,0,9,Lost,None,None,-9.180000300000001,21.700001,0,1,0,0,0,0,0,0,2,2,1,2,2,2,1,1,2,2,2,2,2,3,1
George Franklin,14,98,1,0,9,Lost,None,None,-9.180000300000001,28.1,0,1,0,0,0,0,0,0,2,2,1,2,2,2,0,0,2,2,2,2,2,1,3
Matt Longjohn,14,98,1,0,9,Advanced,None,On the Ballot,-9.180000300000001,37.299999,1,1,0,0,0,0,1,0,2,2,1,2,2,2,0,0,2,2,2,2,2,1,3
Rich Eichholz,14,98,1,0,9,Lost,None,None,-9.180000300000001,13.0,0,1,0,0,0,0,1,0,2,2,1,2,2,2,0,0,2,2,2,2,2,1,3
Gretchen Driskell,14,99,1,0,9,Advanced,None,On the Ballot,-16.059998999999998,85.199997,1,1,0,0,1,0,0,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2
Steven Friday,14,99,1,0,9,Lost,None,None,-16.059998999999998,14.8,0,1,1,0,0,0,0,0,0,0,2,2,2,2,1,2,2,2,2,2,2,1,3
Chris Smith,14,100,1,0,9,Lost,None,None,-8.3299999,29.1,0,1,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,2,2,2,0,3
Elissa Slotkin,14,100,1,0,9,Advanced,None,On the Ballot,-8.3299999,70.900002,1,1,0,0,0,0,0,1,2,1,2,1,2,2,2,2,2,2,2,2,2,3,0
Andy Levin,14,101,1,0,9,Advanced,None,On the Ballot,7.139999900000001,52.5,1,1,0,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,2,2,2,1,2
Ellen Lipton,14,101,1,0,9,Lost,None,None,7.139999900000001,42.400002,0,1,0,0,1,0,1,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1
Martin Brook,14,101,1,0,9,Lost,None,None,7.139999900000001,5.0999999,0,1,0,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,2,2,2,1,2
Bill Haas,15,105,1,0,9,Lost,None,None,-14.18,19.5,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2
Cort VanOstran,15,105,1,0,9,Advanced,None,On the Ballot,-14.18,41.700001,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,0,2,1,2
John Messmer,15,105,1,0,9,Lost,None,None,-14.18,9.6999998,0,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,0,2,1,2
Mark Osmack,15,105,1,0,9,Lost,None,None,-14.18,25.200001,0,1,1,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1
Robert Hazel,15,105,1,0,9,Lost,None,None,-14.18,4.0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2
Katy Geppert,15,106,1,0,9,Advanced,None,On the Ballot,-38.259997999999996,100.0,1,1,0,0,0,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Hallie Thompson,15,107,1,0,9,Lost,None,None,-35.73,48.099998,0,1,0,0,0,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Renee Hoagenson,15,107,1,0,9,Advanced,None,On the Ballot,-35.73,51.900002,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Ed Andres,15,108,1,0,9,Lost,None,None,-31.610001,27.700001,0,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Henry Martin,15,108,1,0,9,Advanced,None,On the Ballot,-31.610001,41.5,1,0,1,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2
Winston Apple,15,108,1,0,9,Lost,None,None,-31.610001,30.799999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
Jamie Schoolcraft,15,109,1,0,9,Advanced,None,On the Ballot,-46.130001,40.599998,1,1,1,0,1,0,1,0,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1
John Farmer de la Torre,15,109,1,0,9,Lost,None,None,-46.130001,21.700001,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,0,2,2,2,2,2,0,3
Kenneth Hatfield,15,109,1,0,9,Lost,None,None,-46.130001,22.299999,0,2,2,2,2,0,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,0,3
Vincent Jennings,15,109,1,0,9,Lost,None,None,-46.130001,15.4,0,2,2,2,2,0,2,0,2,2,1,2,2,2,2,0,2,2,2,2,2,1,2
Kathy Ellis,15,110,1,0,9,Advanced,None,On the Ballot,-51.810001,100.0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Randy Wadkins,16,102,1,0,7,Advanced,None,On the Ballot,-33.509997999999996,100.0,1,2,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Michael Aycox,16,103,1,0,7,Lost,None,None,-26.129998999999998,30.66,0,2,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Michael Evans,16,103,1,0,7,Advanced,None,On the Ballot,-26.129998999999998,69.339996,1,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jeramey Anderson,16,104,1,0,7,Advanced,None,On the Ballot,-42.529999,100.0,1,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1
David Baria,16,232,2,0,7,Advanced,Advanced,On the Ballot,-18.780001000000002,30.98,1,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Howard Sherman,16,232,2,0,7,Advanced,Lost,None,-18.780001000000002,31.790001,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jensen Bohren,16,232,2,0,7,Lost,None,None,-18.780001000000002,3.21,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jerone Garland,16,232,2,0,7,Lost,None,None,-18.780001000000002,4.8499999,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Omeria Scott,16,232,2,0,7,Lost,None,None,-18.780001000000002,24.200001,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Victor Maurice Jr.,16,232,2,0,7,Lost,None,None,-18.780001000000002,4.96,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Grant Kier,17,111,1,0,7,Lost,None,None,-21.41,24.15,0,2,0,0,0,0,1,0,2,2,0,2,2,2,0,0,2,2,2,2,2,0,4
Jared Pettinato,17,111,1,0,7,Lost,None,None,-21.41,2.21,0,2,0,0,0,0,0,0,2,2,0,2,2,2,0,0,2,2,2,2,2,0,4
John Heenan,17,111,1,0,7,Lost,None,None,-21.41,31.709999,0,2,0,0,0,1,0,0,2,2,0,2,2,2,1,1,2,2,2,2,2,2,2
John Meyer,17,111,1,0,7,Lost,None,None,-21.41,3.3399998999999996,0,2,0,0,0,0,1,0,2,2,1,2,2,2,0,0,2,2,2,2,2,1,3
Kathleen Williams,17,111,1,0,7,Advanced,None,On the Ballot,-21.41,33.52,1,2,0,0,1,0,0,0,2,2,1,2,2,2,0,0,2,2,2,2,2,1,3
Lynda Moss,17,111,1,0,7,Lost,None,None,-21.41,5.0599999,0,2,0,0,1,0,0,0,2,2,0,2,2,2,0,0,2,2,2,2,2,0,4
David Wilson Brown,18,135,1,0,10,Advanced,None,On the Ballot,-25.51,100.0,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Phillip Price,18,136,1,0,10,Advanced,None,On the Ballot,-29.559998999999998,40.59,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Scott Donaldson,18,136,1,0,10,Lost,None,None,-29.559998999999998,28.27,0,1,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Steve Woodsmall,18,136,1,0,10,Lost,None,None,-29.559998999999998,31.139999,0,1,1,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Adam Coker,18,137,1,0,10,Lost,None,None,-11.28,29.860001,0,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,1,3
Kathy Manning,18,137,1,0,10,Advanced,None,On the Ballot,-11.28,70.139999,1,1,0,0,0,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2
Ken Romley,18,138,1,0,10,Lost,None,None,-12.98,32.299999,0,1,0,0,0,1,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Linda Coleman,18,138,1,0,10,Advanced,None,On the Ballot,-12.98,56.0,1,0,0,0,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Wendy May,18,138,1,0,10,Lost,None,None,-12.98,11.7,0,1,1,1,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Denise Adams,18,139,1,0,10,Advanced,None,On the Ballot,-19.280001000000002,54.400002,1,0,0,0,1,0,0,0,2,2,0,2,2,2,2,0,2,2,1,2,2,1,3
Jenny Marshall,18,139,1,0,10,Lost,None,None,-19.280001000000002,45.599998,0,1,0,0,0,0,0,0,2,2,1,2,2,2,2,1,2,2,0,2,2,2,2
Gerald Wong,18,140,1,0,10,Lost,None,None,-16.73,22.799999,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,0,2,2,2,0,3
Ryan Watts,18,140,1,0,10,Advanced,None,On the Ballot,-16.73,77.199997,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1
Grayson Parker,18,141,1,0,10,Lost,None,None,-18.98,33.0,0,1,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Kyle Horton,18,141,1,0,10,Advanced,None,On the Ballot,-18.98,67.0,1,1,0,0,0,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Frank McNeill,18,142,1,0,10,Advanced,None,On the Ballot,-16.360001,56.099998,1,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
Marc Tiegel,18,142,1,0,10,Lost,None,None,-16.360001,20.9,0,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Scott Huffman,18,142,1,0,10,Lost,None,None,-16.360001,23.0,0,1,1,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
Christian Cano,18,143,1,0,10,Lost,None,None,-14.13,17.200001,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,0,2,0,2,0,4
Dan McCready,18,143,1,0,10,Advanced,None,On the Ballot,-14.13,82.800003,1,1,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,2,1,2,3,1
Mac Schneider,19,144,1,0,0,Advanced,None,On the Ballot,-34.779999,100.0,1,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Bob Krist,20,12,0,0,1,Advanced,None,On the Ballot,-26.76,59.810001,1,1,1,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2
Tyler Davis,20,12,0,0,1,Lost,None,None,-26.76,11.39,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2
Vanessa Ward,20,12,0,0,1,Lost,None,None,-26.76,28.799999,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2
Dennis Crawford,20,112,1,0,1,Lost,None,None,-22.66,33.900002,0,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,0,2,2,1,2
Jessica McClure,20,112,1,0,1,Advanced,None,On the Ballot,-22.66,66.099998,1,2,0,0,0,0,1,0,2,2,1,2,2,2,2,2,2,2,0,2,2,1,2
Brad Ashford,20,113,1,0,1,Lost,None,None,-5.98,48.360001000000004,0,2,0,0,1,0,0,0,1,2,1,2,2,2,2,0,0,2,0,2,2,2,4
Kara Eastman,20,113,1,0,1,Advanced,None,On the Ballot,-5.98,51.639998999999996,1,2,0,0,0,0,0,0,0,2,1,2,2,2,2,1,1,2,1,2,2,4,2
Paul Theobald,20,114,1,0,1,Advanced,None,On the Ballot,-54.310001,100.0,1,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Chris Janicek,20,233,2,0,1,Lost,None,None,-26.76,20.219998999999998,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Frank Svoboda,20,233,2,0,1,Lost,None,None,-26.76,11.37,0,2,1,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Jane Raybould,20,233,2,0,1,Advanced,None,On the Ballot,-26.76,63.68,1,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Larry Marvin,20,233,2,0,1,Lost,None,None,-26.76,4.7399998,0,2,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Alison Heslin,21,118,1,0,7,Lost,None,None,-4.6599998,2.7,0,2,0,0,0,0,1,0,0,0,2,0,2,2,2,2,2,2,2,0,2,0,5
Mark Washburne,21,118,1,0,7,Lost,None,None,-4.6599998,3.4000001,0,2,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,0,2,0,5
Mikie Sherrill,21,118,1,0,7,Advanced,None,On the Ballot,-4.6599998,77.5,1,2,1,0,0,0,0,0,1,1,2,1,2,2,2,2,2,2,2,1,2,4,1
Mitchell Cobert,21,118,1,0,7,Lost,None,None,-4.6599998,1.9,0,2,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,0,2,0,5
Tamara Harris,21,118,1,0,7,Lost,None,None,-4.6599998,14.5,0,0,0,0,0,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,2,0,5
Jeff Van Drew,21,119,1,0,7,Advanced,None,On the Ballot,-3.96,55.400002,1,1,0,0,1,0,0,0,1,2,2,2,2,2,2,2,2,0,2,2,2,1,2
Nathan Kleinman,21,119,1,0,7,Lost,None,None,-3.96,8.6000004,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,2,2,2,0,3
