candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,has_twitter,num_endorsements
Nicolas Kimaz,NicolasKimazFL,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Advanced,None,On the Ballot,41.0,Yes,,,,,,No,,,,,,,,,False,0
Javier Manjarres,JavManjarres,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,None,None,33.9,No,,,,,,Yes,,,,,,,,,False,1
Eddison Walters,eddisonwalters,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,None,None,25.1,No,,,,,,No,,,,,,,,,False,0
Carla Spalding,carla_spalding,,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Lost,None,None,21.5,No,,,,,,,,,,,,,,,False,0
Joe Kaufman,JoeKaufmanUSA,,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Advanced,None,On the Ballot,44.7,Yes,,,,,,,,,,,,,,,False,0
Carlos Reyes,CJRCampaign,,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Lost,None,None,33.8,No,,,,,,,,,,,,,,,False,0
Bruno Barreiro,BarreiroFL,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,25.7,No,Yes,,,,,No,,,,,,No,,,False,1
Maria Peiro,MariaMPeiro,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,8.0,No,No,,,,,Yes,,,,,,No,,,False,1
Bettina Rodriguez-Aguilera,bettinaraoffici,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,4.3,No,No,,,,,No,,,,,,No,,,False,0
Gina Sosa-Suarez,,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,1.9,No,No,,,,,No,,,,,,No,,,True,0
Angie Chirino,chirino4house,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,6.9,No,No,,,,,No,,,,,,No,,,False,0
Maria Elvira Salazar,MaElviraSalazar,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Advanced,None,On the Ballot,40.5,Yes,Yes,,,,,No,,,,,,Yes,,,False,2
Michael Ohevzion,Michael4Florida,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,3.8,No,No,,,,,No,,,,,,No,,,False,0
Elizabeth Adadi,,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,2.0,No,No,,,,,No,,,,,,No,,,True,0
Stephen Marks,StephenMarksFL,,FL,U.S. House Florida District 27,Representative,Regular,8/28/18,Lost,None,None,7.0,No,No,,,,,No,,,,,,No,,,False,0
Fred Costello,fredcostello,,FL,U.S. House Florida District 6,Representative,Regular,8/28/18,Lost,None,None,27.2,No,,,,,,Yes,,,,,,,,,False,1
John Ward,WardforFlorida,,FL,U.S. House Florida District 6,Representative,Regular,8/28/18,Lost,None,None,30.4,No,,,,,,No,,,,,,,,,False,0
Michael Waltz,michaelgwaltz,,FL,U.S. House Florida District 6,Representative,Regular,8/28/18,Advanced,None,On the Ballot,42.4,Yes,,,,,,No,,,,,,,,,False,0
Mike Miller,Mike_Miller_FL,MillerFlorida14,FL,U.S. House Florida District 7,Representative,Regular,8/28/18,Advanced,None,On the Ballot,53.9,Yes,Yes,,,,,No,,,,,,Yes,,,False,2
Scott Sturgill,Scott_Sturgill,,FL,U.S. House Florida District 7,Representative,Regular,8/28/18,Lost,None,None,30.4,No,Yes,,,,,Yes,,Yes,,,,No,,,False,3
Vennia Francois,Vennia4Congress,,FL,U.S. House Florida District 7,Representative,Regular,8/28/18,Lost,None,None,15.8,No,No,,,,,No,,No,,,,No,,,False,0
Rick Scott,SenRickScott,,FL,U.S. Senate Florida,Senator,Regular,8/28/18,Advanced,None,On the Ballot,88.6,Yes,,Yes,,,,Yes,,Yes,Yes,,,,Yes,,False,5
Roque De La Fuente,JoinRocky,,FL,U.S. Senate Florida,Senator,Regular,8/28/18,Lost,None,None,11.4,No,,No,,,,No,,No,No,,,,No,,False,0
Brian Kemp,BrianKempGA,,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,Advanced,On the Ballot,25.55,Yes,,Yes,,,No,No,,,,,,,,,False,1
Casey Cagle,CaseyCagle,,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,Lost,None,39.01,No,,No,,,Yes,No,,,,,,,,,False,1
Hunter Hill,votehunterhill,,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,None,18.35,No,,No,,,No,Yes,,,,,,,,,False,1
Michael Williams,williamsforga,,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,None,4.88,No,,No,,,No,No,,,,,,,,,False,0
Clay Tippins,ClayTippins,,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,None,12.21,No,,No,,,No,No,,,,,,,,,False,0
Eddie Hayes,IStandWithEddie,,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,None,0.0,No,,No,,,No,No,,,,,,,,,False,0
David Callahan,DavidCa46446866,,GA,U.S. House Georgia District 13,Representative,Regular,5/22/18,Advanced,None,On the Ballot,93.0,Yes,,,,,,Yes,,,,,,,,,False,1
Femi Akinkugbe,,,GA,U.S. House Georgia District 13,Representative,Regular,5/22/18,Lost,None,None,7.0,No,,,,,,No,,,,,,,,,True,0
Andria Tupola,votetupola,,HI,Governor of Hawaii,Governor,Regular,8/11/18,Advanced,None,On the Ballot,55.5,Yes,,,,,,,,,,,,,,,False,0
John Carroll,Carroll4Hawaii,,HI,Governor of Hawaii,Governor,Regular,8/11/18,Lost,None,None,35.2,No,,,,,,,,,,,,,,,False,0
Ray L'Heureux,trustingov,,HI,Governor of Hawaii,Governor,Regular,8/11/18,Lost,None,None,9.3,No,,,,,,,,,,,,,,,False,0
Cam Cavasso,camcavasso,,HI,U.S. House Hawaii District 1,Representative,Regular,8/11/18,Advanced,None,On the Ballot,81.8,Yes,,,,,,,,,,,,,,,False,0
Raymond Vinole,,,HI,U.S. House Hawaii District 1,Representative,Regular,8/11/18,Lost,None,None,18.2,No,,,,,,,,,,,,,,,True,0
Ron Curtis,rcurtis808,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Advanced,None,On the Ballot,23.7,Yes,,,,,,,,,,,,,,,False,0
Michael Hodgkiss,,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,None,None,5.9,No,,,,,,,,,,,,,,,True,0
Consuelo Anderson,,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,None,None,19.3,No,,,,,,,,,,,,,,,True,0
George Berish,,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,None,None,6.2,No,,,,,,,,,,,,,,,True,0
Roque De La Fuente,JoinRocky,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,None,None,11.4,No,,,,,,,,,,,,,,,False,0
Robert Helsham,bigdaddyhelsham,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,None,None,14.9,No,,,,,,,,,,,,,,,False,0
Eddie Pirkowski,,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,None,None,5.1,No,,,,,,,,,,,,,,,True,0
Thomas White,,,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,None,None,13.6,No,,,,,,,,,,,,,,,True,0
Brad Little,GovernorLittle,LittleOtterID,ID,Governor of Idaho,Governor,Regular,5/15/18,Advanced,None,On the Ballot,37.29,Yes,,,,,,,,,,,,,,,False,0
Harley Brown,2018HarleyBrown,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,0.45,No,,,,,,,,,,,,,,,False,0
Lisa Marie,,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,1.75,No,,,,,,,,,,,,,,,True,0
Raul Labrador,RaulLabrador4ID,Raul_Labrador,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,32.63,No,,,,,,,,,,,,,,,False,0
Steven Pankey,PankeyforIdaho,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,1.39,No,,,,,,,,,,,,,,,False,0
Tommy Ahlquist,TommyAhlquist,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,26.22,No,,,,,,,,,,,,,,,False,0
Dalton Cannady,,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,0.27,No,,,,,,,,,,,,,,,True,0
Russ Fulcher,RussFulcher,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,43.12,Yes,,,,,,,,Yes,,Yes,,No,,,False,2
Christy Perry,RepChristyPerry,ChristyPerry208,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,11.19,No,,,,,,,,No,,No,,No,,,False,0
Luke Malek,LukeMalek,malek4congress,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,14.26,No,,,,,,,,No,,No,,Yes,,,False,1
David Leroy,,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,15.53,No,,,,,,,,No,,No,,No,,,True,0
Michael Snyder,Revelation1217,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,10.37,No,,,,,,,,No,,No,,No,,,False,0
Nick Henderson,VoteNickH,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,2.02,No,,,,,,,,No,,No,,No,,,False,0
Alex Gallegos,AlexForIdaho,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,3.5,No,,,,,,,,No,,No,,No,,,False,0
Doug Bennett,DougRBennett,,IL,U.S. House Illinois District 10,Representative,Regular,3/20/18,Advanced,None,On the Ballot,36.24,Yes,Yes,,,,,,,,,,,,,,False,1
Sapan Shah,drsapanshah,,IL,U.S. House Illinois District 10,Representative,Regular,3/20/18,Lost,None,None,29.06,No,Yes,,,,,,,,,,,,,,False,1
Jeremy Wynes,JeremyWynes,,IL,U.S. House Illinois District 10,Representative,Regular,3/20/18,Lost,None,None,34.7,No,Yes,,,,,,,,,,,,,,False,1
Nick Stella,nickstellamd,,IL,U.S. House Illinois District 11,Representative,Regular,3/20/18,Advanced,None,On the Ballot,79.33,Yes,,,,,,,,,,,,,,,False,0
Connor Vlakancic,ConnorVlakancic,,IL,U.S. House Illinois District 11,Representative,Regular,3/20/18,Lost,None,None,20.67,No,,,,,,,,,,,,,,,False,0
David Merkle,,,IL,U.S. House Illinois District 2,Representative,Regular,3/20/18,Advanced,None,On the Ballot,36.59,Yes,,,,,,,,,,,,,,,True,0
John Morrow,CandidateMorrow,,IL,U.S. House Illinois District 2,Representative,Regular,3/20/18,Lost,None,None,27.94,No,,,,,,,,,,,,,,,False,0
Patrick Harmon,,,IL,U.S. House Illinois District 2,Representative,Regular,3/20/18,Lost,None,None,35.46,No,,,,,,,,,,,,,,,True,0
Mark Wayne Lorch,MarkLorch,,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,False,0
Craig Cameron,CraigCameron07,,IL,U.S. House Illinois District 7,Representative,Regular,3/20/18,Advanced,None,On the Ballot,56.33,Yes,,,,,,,,,,,,,,,False,0
Jeffrey Leef,Leef2016gop,,IL,U.S. House Illinois District 7,Representative,Regular,3/20/18,Lost,None,None,43.67,No,,,,,,,,,,,,,,,False,0
John Elleson,JohnElleson,,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Advanced,None,On the Ballot,40.37,Yes,,,,,,,,,,,,,,,False,0
Max Rice,,,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Lost,None,None,10.15,No,,,,,,,,,,,,,,,True,0
D. Vincent Thomas Jr.,DVThomasJr,,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Lost,None,None,18.83,No,,,,,,,,,,,,,,,False,0
Sargis Sangari,VoteSangari,,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Lost,None,None,10.15,No,,,,,,,,,,,,,,,False,0
Mark Leyva,,,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,26.99,Yes,,,,,,,,,,,,,,,True,0
John Meyer,,,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,None,None,19.6,No,,,,,,,,,,,,,,,True,0
Jeremy Belko,jdbelko,,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,None,None,6.73,No,,,,,,,,,,,,,,,False,0
David Dopp,Dopp4Indiana,,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,None,None,7.61,No,,,,,,,,,,,,,,,False,0
Roseann Ivanovich,Ivanovich4House,,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,None,None,19.55,No,,,,,,,,,,,,,,,False,0
Nicholas Pappas,,,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,None,None,19.52,No,,,,,,,,,,,,,,,True,0
Jim Baird,ElectJimBaird,RepJimBaird,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,36.59,Yes,,,,,,Yes,,,,,,,,No,False,1
James Nease,,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,2.62,No,,,,,,No,,,,,,,,,True,0
Kevin Grant,,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,4.58,No,,,,,,No,,,,,,,,,True,0
Steve Braun,SteveBraunIN,braunforindiana,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,29.45,No,,,,,,Yes,,,,,,,,,False,1
Diego Morales,cdiegomorales,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,14.97,No,,,,,,Yes,,,,,,,,No,False,1
Jared Thomas,JaredGuyThomas,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,10.53,No,,,,,,No,,,,,,,,,False,0
Tim Radice,,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,1.26,No,,,,,,No,,,,,,,,,True,0
Greg Pence,GregPenceIN,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,64.48,Yes,,,,Yes,,Yes,,,,,,,,,False,2
Jeff Smith,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,3.04,No,,,,No,,Yes,,,,,,,,,True,1
Mike Campbell,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,4.34,No,,,,No,,No,,,,,,,,,True,0
Stephen MacKenzie,mackenziein6,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,4.57,No,,,,No,,No,,,,,,,,,False,0
Jonathan Lamb,LambONOMICS,ElectLamb,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,23.56,No,,,,No,,No,,,,,,,,,False,0
Wayne Harmon,Gunny_Harmon,,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,28.81,Yes,,,,,,No,,,,,,,,,False,0
J.D. Miniear,JDMiniear,,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,None,None,13.59,No,,,,,,Yes,,,,,,,,,False,1
John Couch,,,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,None,None,15.24,No,,,,,,No,,,,,,,,,True,0
Tony Van Pelt,,,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,None,None,11.3,No,,,,,,No,,,,,,,,,True,0
J. Jason Davis,,,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,None,None,11.9,No,,,,,,No,,,,,,,,,True,0
Donald Eason Jr.,DonaldTEasonjr,,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,None,None,19.16,No,,,,,,No,,,,,,,,,False,0
Mike Braun,braun4indiana,SenatorBraun,IN,U.S. Senate Indiana,Senator,Regular,5/8/18,Advanced,None,On the Ballot,41.17,Yes,,,,,,Yes,,,,,,,,,False,1
Luke Messer,LukeMesserIN,,IN,U.S. Senate Indiana,Senator,Regular,5/8/18,Lost,None,None,28.84,No,,,,,,Yes,,,,,,,,,False,1
Todd Rokita,ToddRokita,,IN,U.S. Senate Indiana,Senator,Regular,5/8/18,Lost,None,None,29.99,No,,,,,,Yes,,,,,,,,,False,1
Caryn Tyson,RealCarynTyson,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,None,None,23.2,No,Yes,,,,,Yes,Yes,,,,,,,,False,3
Kevin Jones,kevinicolejones,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,None,None,15.9,No,No,,,,,No,No,,,,,,,,False,0
Steve Fitzgerald,LtColFitzgerald,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,None,None,12.1,No,Yes,,,,,No,No,,,,,,,,False,1
Vernon Fields,,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,None,None,2.6,No,No,,,,,No,No,,,,,,,,True,0
Steve Watkins,Steve4Kansas,Rep_Watkins,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,26.2,Yes,Yes,,,,,No,No,,,,,,,,False,1
Doug Mays,SpeakerDoug,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,None,None,8.1,No,No,,,,,No,No,,,,,,,,False,0
Dennis Pyle,DennisPyle,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,None,None,11.9,No,No,,,,,No,No,,,,,,,,False,0
Vickie Yates Glisson,VickieYGlisson,,KY,U.S. House Kentucky District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,49.06,Yes,Yes,,,,,Yes,,,,,,,,,False,2
Mike Craven,,,KY,U.S. House Kentucky District 3,Representative,Regular,5/22/18,Lost,None,None,26.9,No,No,,,,,No,,,,,,,,,True,0
Rhonda Palazzo,,,KY,U.S. House Kentucky District 3,Representative,Regular,5/22/18,Lost,None,None,24.05,No,No,,,,,No,,,,,,,,,True,0
Liz Matory,LizForCongress,LizMatory,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,42.01,Yes,,,,,,Yes,,,,,,,,,False,1
Mark Shell,shell4congress,,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Lost,None,None,23.6,No,,,,,,No,,,,,,,,,False,0
Hubert Owens Jr.,,,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Lost,None,None,17.07,No,,,,,,No,,,,,,,,,True,0
Mitchell Toland Jr.,mitch_toland_jr,,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Lost,None,None,17.32,No,,,,,,No,,,,,,,,,False,0
Charles Anthony,,,MD,U.S. House Maryland District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,43.59,Yes,,,,,,No,,,,,,,,,True,0
Thomas Harris,,,MD,U.S. House Maryland District 3,Representative,Regular,6/26/18,Lost,None,None,35.96,No,,,,,,No,,,,,,,,,True,0
Rob Seyfferth,RobertSeyfferth,,MD,U.S. House Maryland District 3,Representative,Regular,6/26/18,Lost,None,None,20.45,No,,,,,,No,,,,,,,,,False,0
William Devine III,studlydevine,,MD,U.S. House Maryland District 5,Representative,Regular,6/26/18,Advanced,None,On the Ballot,57.56,Yes,,,,,,,,,,,,,,,False,0
Johnny Rice,JohnyRice4Jesus,,MD,U.S. House Maryland District 5,Representative,Regular,6/26/18,Lost,None,None,42.44,No,,,,,,,,,,,,,,,False,0
Amie Hoeber,amieformaryland,HoeberAmie,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,67.76,Yes,Yes,,,,,No,,,,,,,,,False,1
Lisa Lloyd,,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,17.81,No,No,,,,,No,,,,,,,,,True,0
Brad Rohrs,,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,5.68,No,No,,,,,Yes,,,,,,,,,True,1
Kurt Elsasser,Elsasser4congr1,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,8.75,No,No,,,,,No,,,,,,,,,False,0
Ray Bly,,,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,Lost,None,None,16.52,No,,,,,,No,,,,,,,,,True,0
William Newton,NEWTONCONGRESS,,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,Lost,None,None,22.33,No,,,,,,Yes,,,,,,,,,False,1
Richmond Davis,Davis4Maryland,,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,On the Ballot,None,None,31.29,No,,,,,,No,,,,,,,,,False,0
Michael Pearson,,,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,On the Ballot,None,None,29.86,No,,,,,,No,,,,,,,,,True,0
John Walsh,,,MD,U.S. House Maryland District 8,Representative,Regular,6/26/18,Advanced,None,On the Ballot,44.87,Yes,,,,,,,,,,,,,,,True,0
Bridgette Cooper,BCoopercongress,,MD,U.S. House Maryland District 8,Representative,Regular,6/26/18,Lost,None,None,31.28,No,,,,,,,,,,,,,,,False,0
Victor Williams,,,MD,U.S. House Maryland District 8,Representative,Regular,6/26/18,Lost,None,None,23.85,No,,,,,,,,,,,,,,,True,0
Tony Campbell,Campbell4MD,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Advanced,None,On the Ballot,29.22,Yes,,,,,,Yes,,,,,,,,,False,1
Blaine Taylor,,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,5.03,No,,,,,,No,,,,,,,,,True,0
Brian Vaeth,bvaeth253,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,3.07,No,,,,,,No,,,,,,,,,False,0
Chris Chaffee,ChaffeeUSSenate,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,24.05,No,,,,,,No,,,,,,,,,False,0
John Graziani,,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,8.77,No,,,,,,No,,,,,,,,,True,0
Nnabu Eze,eze4senate,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,1.96,No,,,,,,No,,,,,,,,,False,0
Evan Cronhardt,EvanCronhardt,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,2.53,No,,,,,,No,,,,,,,,,False,0
Christina Grigorian,GrigorianSenate,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,17.48,No,,,,,,No,,,,,,,,,False,0
Bill Krehnbrink,CoachforPOTUS,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,2.05,No,,,,,,No,,,,,,,,,False,0
Gerald Smith,,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,4.3,No,,,,,,No,,,,,,,,,True,0
Albert Howard,binyahminhoward,,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,None,None,1.55,No,,,,,,No,,,,,,,,,False,0
Shawn Moody,Moody4Gov,,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,On the Ballot,52.6,Yes,,,,,,,,,,,,,,,False,0
