,candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support
14,Peter Joffrion,peter_joffrion,,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
15,Danner Kline,VoteDannerKline,,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459998999999996,100.0,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
18,Chintan Desai,DecideonDesai,,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
23,Joshua Mahony,joshuamahony,,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.560001,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
24,Hayden Shamel,HaydenShamel,,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-33.68,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
49,TJ Cox,TJCoxCongress,,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,11.87,100.0,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,
106,Stephany Rose Spaulding,StephanyForCO,,CO,U.S. House Colorado District 5,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-25.73,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,Yes,,,,,
116,Flynn Broady Jr.,flynndbroadyjr,,GA,U.S. House Georgia District 11,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-30.129998999999998,100.0,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
120,Steven Foster,,,GA,U.S. House Georgia District 14,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-54.18,100.0,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
224,William Tanoos,Tanoos2018,,IN,U.S. House Indiana District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-32.509997999999996,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
234,Alan LaPolice,LapoliceAlan,,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.91,100.0,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,
315,Rob Davidson,DrRobDavidson,,MI,U.S. House Michigan District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-18.959999,100.0,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,Yes,,,
336,Katy Geppert,KatyforCongress,,MO,U.S. House Missouri District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-38.259997999999996,100.0,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
346,Kathy Ellis,ellis4missouri,,MO,U.S. House Missouri District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-51.810001,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
347,Randy Wadkins,Wadkins2018,,MS,U.S. House Mississippi District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.509997999999996,100.0,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,
350,Jeramey Anderson,jerameyanderson,,MS,U.S. House Mississippi District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-42.529999,100.0,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,Yes,,,
363,David Wilson Brown,davidwbrown,,NC,U.S. House North Carolina District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-25.51,100.0,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
391,Paul Theobald,Paul_Theobald_,,NE,U.S. House Nebraska District 3,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-54.310001,100.0,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,
405,Andrew Kim,AndyKimNJ,,NJ,U.S. House New Jersey District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-6.0300002,100.0,Yes,Nonwhite,No,No,No,No,No,Yes,Yes,,,Yes,,,,,Yes,,Yes,,
478,Anthony Brindisi,RepBrindisi,ABrindisiNY,NY,U.S. House New York District 22,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-14.26,100.0,Yes,,No,No,Yes,No,No,No,Yes,,No,,,,,,,,Yes,,
490,Nate McMurray,Nate_McMurray,,NY,U.S. House New York District 27,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-24.01,100.0,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,Yes,,
497,Aftab Pureval,AftabPureval,,OH,U.S. House Ohio District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-9.010000199999999,100.0,Yes,Nonwhite,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,
513,Betsy Rader,BetsyRaderOH,,OH,U.S. House Ohio District 14,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-11.98,100.0,Yes,,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,
574,Jessica King,jessforcongress,,PA,U.S. House Pennsylvania District 11,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-27.51,100.0,Yes,White,No,No,No,No,No,No,,,,,,Yes,Yes,Yes,,,Yes,,
638,Martin Olsen,,,TN,U.S. House Tennessee District 1,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-57.029999,100.0,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
642,Danielle Mitchell,DMMD4TNCongress ,,TN,U.S. House Tennessee District 3,Representative,Regular,8/2/18,Advanced,None,On the Ballot,-35.98,100.0,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,Yes,,,
676,Vanessa Adia,VanessaAdiaTX12,,TX,U.S. House Texas District 12,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-33.959998999999996,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,Yes,,,,,
677,Greg Sagan,gtsagan,,TX,U.S. House Texas District 13,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-65.209999,100.0,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,
688,Miguel Levario,miguellevario19,,TX,U.S. House Texas District 19,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-51.43,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
762,Steven David,stevedavid,,TX,U.S. House Texas District 8,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-52.959998999999996,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
768,Shireen Ghorbani,ShireenGhorbani,,UT,U.S. House Utah District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-22.73,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
769,James Singer,urbannavajo,,UT,U.S. House Utah District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-35.16,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
770,Ben McAdams,BenMcAdams,,UT,U.S. House Utah District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-16.809998999999998,100.0,Yes,White,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,
