,candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
42,John Fitzgerald,JFitz4Congress,,CA,U.S. House California District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
43,Lisa Remmer,1776NotInVain,,CA,U.S. House California District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
44,Cristina Osmena,CristinaOsmena,,CA,U.S. House California District 14,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
45,Rudy Peters,PetersCongress,,CA,U.S. House California District 15,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
46,Elizabeth Heng,ElizabethHeng,,CA,U.S. House California District 16,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,
47,Ron Cohen,,,CA,U.S. House California District 17,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
48,Christine Russell,,,CA,U.S. House California District 18,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
49,Dale Mensing,MensingDale,,CA,U.S. House California District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
54,Johnny Nalbandian,Johnny_Congress,,CA,U.S. House California District 28,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
55,Benito Bernal,Benny4Congress,,CA,U.S. House California District 29,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
56,Charlie Schaupp,CharlieSchaupp,,CA,U.S. House California District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,Yes,,,,,,,,
57,Mark Reed,MarkReed1776,,CA,U.S. House California District 30,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
58,Sean Flynn,SeanFlynnCA,,CA,U.S. House California District 31,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,
59,Kenneth Wright,drwright4congr1,,CA,U.S. House California District 33,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
60,Ron Bassilian,Ron4California,,CA,U.S. House California District 34,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
61,Christian Valiente,CLVALIENTE4,,CA,U.S. House California District 35,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
67,Ryan Downing,RyanDowning2018,,CA,U.S. House California District 38,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
75,Aja Smith,AjaforCongress,,CA,U.S. House California District 41,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
81,Russell Lambert,,,CA,U.S. House California District 46,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
107,Marla Livengood,marlalivengood,,CA,U.S. House California District 9,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,Yes,,,,,,,,
123,Casper Stockham,Casper4Colorado,,CO,U.S. House Colorado District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
125,Mark Barrington,,,CO,U.S. House Colorado District 7,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
131,Jennifer Nye,JenniferNye211,,CT,U.S. House Connecticut District 1,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
132,Dan Postemski,,,CT,U.S. House Connecticut District 2,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
133,Angel Cadena,hiro4you2,,CT,U.S. House Connecticut District 3,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
134,Harry Arora,HarryForCT,,CT,U.S. House Connecticut District 4,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
179,Virginia Fuller,Florida_CD5,,FL,U.S. House Florida District 5,Representative,Regular,8/28/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
186,Wayne Liebnitzky,LiebnitzkyWayne,,FL,U.S. House Florida District 9,Representative,Regular,8/28/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
197,Herman West Jr.,RealHermanWest,,GA,U.S. House Georgia District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
198,Joe Profit,JoeProfitGA_04,,GA,U.S. House Georgia District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
204,Brian Evans,becongress,,HI,U.S. House Hawaii District 2,Representative,Regular,8/11/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
213,Chris Peters,DrPeters4Iowa,,IA,U.S. House Iowa District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
228,Jimmy Lee Tillman II,Tillman2014,,IL,U.S. House Illinois District 1,Representative,Regular,3/20/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
234,Bill Fawell,realBillFawell,WmFawell,IL,U.S. House Illinois District 17,Representative,Regular,3/20/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
238,Arthur Jones,ArtJonesCongres,,IL,U.S. House Illinois District 3,Representative,Regular,3/20/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
240,Tom Hanson,,,IL,U.S. House Illinois District 5,Representative,Regular,3/20/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
243,Jitendra Diganvker,diganvker,,IL,U.S. House Illinois District 8,Representative,Regular,3/20/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
292,George McDermott,GeorgeMcDermot3,Congress4MD,MD,U.S. House Maryland District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
324,Rick Green,RickGreenMA,,MA,U.S. House Massachusetts District 3,Representative,Regular,9/4/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,Yes,,,,,
327,Joseph Schneider,JoeSchneiderMA,,MA,U.S. House Massachusetts District 6,Representative,Regular,9/4/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
328,Peter Tedeschi,PDTedeschi,,MA,U.S. House Massachusetts District 9,Representative,Regular,9/4/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,
341,Jeff Jones,Vote_JeffJones,,MI,U.S. House Michigan District 12,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,No,,,,,
342,Marc Herschfus,,,MI,U.S. House Michigan District 14,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,No,,,,,
343,Travis Wines,TWines4congress,Wines4Congress,MI,U.S. House Michigan District 5,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,No,,,,,
354,Greg Ryan,GregTRyan4US,,MN,U.S. House Minnesota District 4,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
396,Roger Allison,RogerWAllison,,NC,U.S. House North Carolina District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
400,Steve Von Loor,steveavonloor,,NC,U.S. House North Carolina District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
420,Paul Dilks,PaulDilks,,NJ,U.S. House New Jersey District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
421,Agha Khan,,,NJ,U.S. House New Jersey District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
427,Daryl Kipnis,Kipnis4Congress,,NJ,U.S. House New Jersey District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,No,,,,,,,,
434,Rich Pezzullo,RichPezzulloNJ,,NJ,U.S. House New Jersey District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
435,John Muniz,,,NJ,U.S. House New Jersey District 8,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
436,Eric Fisher,,,NJ,U.S. House New Jersey District 9,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
445,Jerald Steve McFall,jstevemcfall,,NM,U.S. House New Mexico District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
446,Mick Rich,MickRich4Senate,,NM,U.S. Senate New Mexico,Senator,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
472,Marcus Molinaro,marcmolinaro,,NY,Governor of New York,Governor,Regular,9/13/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
473,Naomi Levin,NaomiLevinNY,,NY,U.S. House New York District 10,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
474,Eliot Rabin,EliotRabinForUS,,NY,U.S. House New York District 12,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
475,Jineea Butler,Jineea4congress,,NY,U.S. House New York District 13,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
476,Anthony Pappas,,,NY,U.S. House New York District 14,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
477,Jason Gonzalez,,,NY,U.S. House New York District 15,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
478,James O'Donnell,JamesODonnellNY,,NY,U.S. House New York District 18,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,
479,Joe Vitollo,JoeVitollo,,NY,U.S. House New York District 20,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
481,Renee Zeno,ReneeMZeno,,NY,U.S. House New York District 26,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
482,Dan DeBono,DanDeBono,,NY,U.S. House New York District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,
483,Ameer Benno,Benno4Congress,,NY,U.S. House New York District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
484,Lutchi Gayot,LutchiGayot,,NY,U.S. House New York District 9,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
485,Chele Farley,CheleFarley,,NY,U.S. Senate New York,Senator,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
509,Christopher DePizzo,chrisdepizzo,,OH,U.S. House Ohio District 13,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
576,David Torres,DTorres4cong,,PA,U.S. House Pennsylvania District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
577,Bryan Leib,LeibforPA,,PA,U.S. House Pennsylvania District 3,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
596,Salvatore Caiozzo,salforcongress,,RI,U.S. House Rhode Island District 2,Representative,Regular,9/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
612,Gerhard Gressmann,gressmannforSC6,,SC,U.S. House South Carolina District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
639,Charlotte Bergmann,ElectBergmann,,TN,U.S. House Tennessee District 9,Representative,Regular,8/2/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
642,Tim Westley,twestley777,,TX,U.S. House Texas District 15,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
645,Ava Pate,avaforcongress,,TX,U.S. House Texas District 18,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
686,Willie Billups,votebillups,,TX,U.S. House Texas District 33,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
687,Rey Gonzalez,reygonzalez34,drreygonzalez,TX,U.S. House Texas District 34,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
717,Jeff Dove,JefferyADoveJr,,VA,U.S. House Virginia District 11,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
722,Thomas Oh,OhForCongress,,VA,U.S. House Virginia District 8,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
728,Joseph Brumbles,JosephBrumbles,,WA,U.S. House Washington District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
729,Douglas Dightman,,,WA,U.S. House Washington District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
730,Craig Keller,,,WA,U.S. House Washington District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
734,Doug Basler,dougbasler,,WA,U.S. House Washington District 9,Representative,,8/7/18,Lost,None,None,100.0,No,,,,,,,,,,,,,,
767,Steve Toft,toftforcongress,,WI,U.S. House Wisconsin District 3,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,Yes,,,,,,,,
